,median,mean,sum
153,2.2700121316759025,2.309246453062852,207.8321807756567
154,2.2793462109794174,2.3112528219760784,208.01275397784704
155,2.2700121316759025,2.3055682737734764,207.50114463961287
156,2.2624249673830197,2.2998837255708744,206.98953530137868
157,2.2478797660816427,2.29429961394727,206.48696525525432
158,2.228015183053053,2.2885730170315486,205.97157153283936
159,2.220911017122475,2.2828464201158263,205.45617781042438
160,2.217260137445495,2.275031096393231,204.75279867539078
161,2.2153940419718796,2.267821493023612,204.10393437212508
162,2.2060954798188415,2.2606118896539926,203.45507006885933
163,2.2060954798188415,2.260381781841165,203.43436036570483
164,2.2060954798188415,2.258058064536631,203.22522580829676
165,2.2060954798188415,2.2557343472320963,203.01609125088865
166,2.2060954798188415,2.254257296983755,202.88315672853795
167,2.2060954798188415,2.2555986666829675,203.00388000146708
168,2.2060954798188415,2.2594974144575235,203.35476730117713
169,2.2153940419718796,2.26656671203247,203.9910040829223
170,2.217260137445495,2.2765570831383237,204.89013748244915
171,2.220911017122475,2.283742851779823,205.53685666018407
172,2.228015183053053,2.2907749045411396,206.16974140870255
173,2.228015183053053,2.2915788351157884,206.24209516042094
174,2.2430020651274356,2.301615210207729,207.1453689186956
175,2.2526695654746054,2.311915858054157,208.07242722487413
176,2.2526695654746054,2.3171484385151837,208.54335946636655
177,2.2575472664288125,2.3246144949930114,209.21530454937104
178,2.2624249673830197,2.332198333232611,209.89784999093496
179,2.2700121316759025,2.33978217147221,210.58039543249888
180,2.2799033819187287,2.347129795692644,211.24168161233797
181,2.286202258857226,2.352191783121068,211.69726048089612
182,2.3117660711945085,2.357571964319239,212.18147678873152
183,2.335633177213663,2.3620537498733083,212.58483748859774
184,2.3522999318408244,2.363621172479112,212.72590552312008
185,2.369836544202384,2.3650761568086773,212.85685411278098
186,2.3737035429549165,2.366160768813195,212.95446919318755
187,2.3759405938671225,2.370327569645897,213.32948126813073
188,2.3790170337248053,2.3744943704785992,213.70449334307392
189,2.3948566408389986,2.380951904051978,214.28567136467802
190,2.3948566408389986,2.377023298334515,213.93209685010638
191,2.3948566408389986,2.3730946926170526,213.57852233553473
192,2.4091578026600056,2.3766626265924335,213.899636393319
193,2.4192529845556368,2.3867391620994503,214.80652458895054
194,2.435221293089726,2.394737186376273,215.5263467738646
195,2.446400098330284,2.4022774349162455,216.2049691424621
196,2.4517057769323833,2.4087093470926657,216.7838412383399
197,2.4579947295682483,2.4161101640704072,217.44991476633663
198,2.464283682204113,2.417503344558101,217.5753010102291
199,2.464940955572797,2.4206163337914153,217.85547004122736
200,2.464940955572797,2.421671046434501,217.9503941791051
201,2.4662535694506715,2.426859837410674,218.41738536696067
202,2.4767890440005305,2.4331086860606073,218.97978174545466
203,2.4927543272064687,2.4371244416006705,219.34119974406033
204,2.500068259610453,2.4409109099326387,219.6819818939375
205,2.502080937586628,2.4446610714773978,220.0194964329658
206,2.502080937586628,2.4507313880294963,220.56582492265466
207,2.500068259610453,2.447656862500707,220.28911762506365
208,2.4927543272064687,2.4396442175576714,219.56797958019044
209,2.4767890440005305,2.433262079069347,218.99358711624126
210,2.4767890440005305,2.4280903779518224,218.52813401566402
211,2.4767890440005305,2.422918676834297,218.06268091508676
212,2.4767890440005305,2.417745363179392,217.59708268614528
213,2.465596296081988,2.4121544837926137,217.09390354133524
214,2.464283682204113,2.4065636044058354,216.5907243965252
215,2.464283682204113,2.4037208396398575,216.33487556758718
216,2.464283682204113,2.40087807487388,216.07902673864922
217,2.4579947295682483,2.3952441138827165,215.5719702494445
218,2.4579947295682483,2.391204282198103,215.2083853978293
219,2.4517057769323833,2.384359424493038,214.59234820437342
220,2.446400098330284,2.3765631696397436,213.8906852675769
221,2.446400098330284,2.3731204433044253,213.58083989739828
222,2.446400098330284,2.3679683521784494,213.11715169606046
223,2.446400098330284,2.3656661390151945,212.9099525113675
224,2.446400098330284,2.363363925851939,212.70275332667453
225,2.446400098330284,2.3656211892151684,212.90590702936515
226,2.446400098330284,2.367548400610363,213.07935605493267
227,2.446400098330284,2.369475612005558,213.2528050805002
228,2.446400098330284,2.3720527333082835,213.4847459977455
229,2.446400098330284,2.3765170026295213,213.8865302366569
230,2.4488466247475773,2.381359170403329,214.3223253362996
231,2.4488466247475773,2.3862013381771368,214.7581204359423
232,2.4488466247475773,2.3901964821697566,215.1176833952781
233,2.4488466247475773,2.394321071974054,215.48889647766487
