,median,mean,sum
0,2.9743679133138263,2.9743679133138263,2.9743679133138263
1,1.9166598141600197,1.9166598141600197,1.9166598141600197
2,1.9166598141600197,1.9166598141600197,1.9166598141600197
3,1.9166598141600197,1.9166598141600197,1.9166598141600197
4,1.9166598141600197,1.9166598141600197,1.9166598141600197
5,2.371641101027993,2.371641101027993,2.371641101027993
6,2.2645505400079653,2.2645505400079653,2.2645505400079653
7,2.664704885973422,2.664704885973422,2.664704885973422
8,2.664704885973422,2.664704885973422,2.664704885973422
9,2.8181784316310097,2.8181784316310097,2.8181784316310097
10,2.83636030191361,2.83636030191361,2.83636030191361
11,2.696970192004008,2.696970192004008,2.696970192004008
12,2.60714699263451,2.60714699263451,2.60714699263451
13,2.7857211182657116,2.7857211182657116,2.7857211182657116
14,2.8571356649834616,2.8571356649834616,2.8571356649834616
15,3.1401649517445973,3.1401649517445973,3.1401649517445973
16,2.718124368048534,2.718124368048534,2.718124368048534
17,2.8356423375596838,2.8356423375596838,2.8356423375596838
18,2.34615340073423,2.34615340073423,2.34615340073423
19,2.34615340073423,2.34615340073423,2.34615340073423
20,2.34615340073423,2.34615340073423,2.34615340073423
21,2.001931223656635,2.001931223656635,2.001931223656635
22,2.5964903809008733,2.5964903809008733,2.5964903809008733
23,2.5964903809008733,2.5964903809008733,2.5964903809008733
24,2.5964903809008733,2.5964903809008733,2.5964903809008733
25,1.9042550603018744,1.9042550603018744,1.9042550603018744
26,2.032677192850504,2.032677192850504,2.032677192850504
27,2.032677192850504,2.032677192850504,2.032677192850504
28,1.997552638553109,1.997552638553109,1.997552638553109
29,1.997552638553109,1.997552638553109,1.997552638553109
30,1.793102886070721,1.793102886070721,1.793102886070721
31,1.793102886070721,1.793102886070721,1.793102886070721
32,1.793102886070721,1.793102886070721,1.793102886070721
33,1.6629013323701083,1.6629013323701083,1.6629013323701083
34,2.3691600542263913,2.3691600542263913,2.3691600542263913
35,3.1175648809843644,3.1175648809843644,3.1175648809843644
36,3.1175648809843644,3.1175648809843644,3.1175648809843644
37,2.963999205912696,2.963999205912696,2.963999205912696
38,2.963999205912696,2.963999205912696,2.963999205912696
39,2.67142462291716,2.67142462291716,2.67142462291716
40,2.67142462291716,2.67142462291716,2.67142462291716
41,2.2947435799240643,2.2947435799240643,2.2947435799240643
42,2.2947435799240643,2.2947435799240643,2.2947435799240643
43,2.3330931702093065,2.3330931702093065,2.3330931702093065
44,2.803996863774775,2.803996863774775,2.803996863774775
45,2.803996863774775,2.803996863774775,2.803996863774775
46,2.803996863774775,2.803996863774775,2.803996863774775
47,3.1331937796171556,3.1331937796171556,3.1331937796171556
48,3.1331937796171556,3.1331937796171556,3.1331937796171556
49,3.8161564608385787,3.8161564608385787,3.8161564608385787
50,3.8161564608385787,3.8161564608385787,3.8161564608385787
51,4.128857563304963,4.128857563304963,4.128857563304963
52,4.128857563304963,4.128857563304963,4.128857563304963
53,5.128792249269949,5.128792249269949,5.128792249269949
54,6.369556245791611,6.369556245791611,6.369556245791611
55,6.369556245791611,6.369556245791611,6.369556245791611
56,6.369556245791611,6.369556245791611,6.369556245791611
57,2.4482720015157127,2.4482720015157127,2.4482720015157127
58,2.4482720015157127,2.4482720015157127,2.4482720015157127
59,3.199987518332449,3.199987518332449,3.199987518332449
60,2.91488982843797,2.91488982843797,2.91488982843797
61,2.334101197249295,2.334101197249295,2.334101197249295
62,2.334101197249295,2.334101197249295,2.334101197249295
63,3.0307693510677396,3.0307693510677396,3.0307693510677396
64,3.0307693510677396,3.0307693510677396,3.0307693510677396
65,2.8611106208902335,2.8611106208902335,2.8611106208902335
66,2.8611106208902335,2.8611106208902335,2.8611106208902335
